Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem
fig|362418.15.peg.548	CDS	NZ_JPRL01000001	590364	591131	3	+	768	putative membrane protein	- none -
fig|362418.15.peg.549	CDS	NZ_JPRL01000001	591239	591538	2	+	300	hypothetical protein	- none -
fig|362418.15.peg.550	CDS	NZ_JPRL01000001	592072	594408	1	+	2337	ATP-dependent DNA helicase UvrD/PcrA (EC 3.6.4.12)	- none -
fig|362418.15.peg.551	CDS	NZ_JPRL01000001	594553	595173	1	+	621	YciO protein, TsaC/YrdC paralog	- none -
fig|362418.15.peg.552	CDS	NZ_JPRL01000001	596191	595358	-1	-	834	OmpA domain protein	- none -
fig|362418.15.peg.553	CDS	NZ_JPRL01000001	597245	596226	-2	-	1020	Glycosyltransferase	- none -
fig|362418.15.peg.554	CDS	NZ_JPRL01000001	597711	597265	-3	-	447	hypothetical protein	- none -
fig|362418.15.peg.555	CDS	NZ_JPRL01000001	597807	598811	3	+	1005	DNA polymerase III delta subunit (EC 2.7.7.7)	- none -
fig|362418.15.peg.556	CDS	NZ_JPRL01000001	598875	599057	3	+	183	Uncharacterized protein Fjoh_2917	- none -
fig|362418.15.peg.557	CDS	NZ_JPRL01000001	599147	599506	2	+	360	hypothetical protein	- none -
fig|362418.15.peg.558	CDS	NZ_JPRL01000001	599710	601401	1	+	1692	Energy-dependent translational throttle protein EttA	- none -
fig|362418.15.peg.559	CDS	NZ_JPRL01000001	601915	601469	-1	-	447	Uncharacterized protein YuxK	- none -
fig|362418.15.peg.560	CDS	NZ_JPRL01000001	604369	602204	-1	-	2166	Recombination inhibitory protein MutS2	DNA repair, bacterial MutL-MutS system
fig|362418.15.peg.561	CDS	NZ_JPRL01000001	604510	605175	1	+	666	Uracil-DNA glycosylase, family 1 (EC 3.2.2.27)	- none -
fig|362418.15.peg.562	CDS	NZ_JPRL01000001	605789	605403	-2	-	387	hypothetical protein	- none -
fig|362418.15.peg.563	CDS	NZ_JPRL01000001	607025	605826	-2	-	1200	Alanine dehydrogenase (EC 1.4.1.1)	Pyruvate Alanine Serine Interconversions
fig|362418.15.peg.564	CDS	NZ_JPRL01000001	607583	607110	-2	-	474	Transcriptional regulator, MarR family	- none -
fig|362418.15.peg.565	CDS	NZ_JPRL01000001	608227	607664	-1	-	564	hypothetical protein	- none -
fig|362418.15.peg.566	CDS	NZ_JPRL01000001	608647	608240	-1	-	408	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	- none -
fig|362418.15.peg.567	CDS	NZ_JPRL01000001	610313	608760	-2	-	1554	Response regulator	- none -
fig|362418.15.peg.568	CDS	NZ_JPRL01000001	610536	611765	3	+	1230	dNTP triphosphohydrolase, broad substrate specificity	- none -
fig|362418.15.peg.569	CDS	NZ_JPRL01000001	611805	612848	3	+	1044	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.191)	- none -
fig|362418.15.peg.570	CDS	NZ_JPRL01000001	612832	614229	1	+	1398	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (EC 3.5.1.108) / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)	CBSS-251221.1.peg.1863; <br>Fatty Acid Biosynthesis FASII
fig|362418.15.peg.571	CDS	NZ_JPRL01000001	614305	615090	1	+	786	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (EC 2.3.1.129)	- none -
fig|362418.15.peg.572	CDS	NZ_JPRL01000001	615185	615751	2	+	567	Translation elongation factor P	Modification of eukaryotic initiation factor 5A; <br>Translation elongation factors bacterial
fig|362418.15.peg.573	CDS	NZ_JPRL01000001	615888	616817	3	+	930	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.191)	- none -
fig|362418.15.peg.574	CDS	NZ_JPRL01000001	616819	617181	1	+	363	hypothetical protein	- none -
fig|362418.15.peg.575	CDS	NZ_JPRL01000001	617268	618140	3	+	873	Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5)	- none -
fig|362418.15.peg.576	CDS	NZ_JPRL01000001	618281	618709	2	+	429	hypothetical protein	- none -
fig|362418.15.peg.577	CDS	NZ_JPRL01000001	619046	619711	2	+	666	RNA polymerase ECF-type sigma factor	- none -
fig|362418.15.peg.578	CDS	NZ_JPRL01000001	619803	620918	3	+	1116	Putative anti-sigma factor	- none -
fig|362418.15.peg.579	CDS	NZ_JPRL01000001	621117	624845	3	+	3729	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family	- none -
fig|362418.15.peg.580	CDS	NZ_JPRL01000001	624857	626332	2	+	1476	Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family	- none -
fig|362418.15.peg.581	CDS	NZ_JPRL01000001	626349	627209	3	+	861	hypothetical protein	- none -
fig|362418.15.peg.582	CDS	NZ_JPRL01000001	627221	628558	2	+	1338	hypothetical protein	- none -
fig|362418.15.peg.583	CDS	NZ_JPRL01000001	628740	629486	3	+	747	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100), FadG	- none -
fig|362418.15.peg.584	CDS	NZ_JPRL01000001	629565	631592	3	+	2028	hypothetical protein	- none -
fig|362418.15.peg.585	CDS	NZ_JPRL01000001	631658	632491	2	+	834	hypothetical protein	- none -
fig|362418.15.peg.586	CDS	NZ_JPRL01000001	632492	633238	2	+	747	Mll3043 protein	- none -
fig|362418.15.peg.587	CDS	NZ_JPRL01000001	633309	634205	3	+	897	Transcriptional regulator YeiE, LysR family	- none -
fig|362418.15.peg.588	CDS	NZ_JPRL01000001	634277	635251	2	+	975	Putative membrane protein YeiH	- none -
fig|362418.15.peg.589	CDS	NZ_JPRL01000001	636209	635256	-2	-	954	hypothetical protein	- none -
fig|362418.15.peg.590	CDS	NZ_JPRL01000001	636398	637381	2	+	984	hypothetical protein	- none -
fig|362418.15.peg.591	CDS	NZ_JPRL01000001	639609	637474	-3	-	2136	Sulfatase family protein	- none -
fig|362418.15.peg.592	CDS	NZ_JPRL01000001	639811	640476	1	+	666	DNA-binding heavy metal response regulator	Cobalt-zinc-cadmium resistance
fig|362418.15.peg.593	CDS	NZ_JPRL01000001	640477	641871	1	+	1395	Two-component system sensor histidine kinase	- none -
fig|362418.15.peg.594	CDS	NZ_JPRL01000001	642187	643044	1	+	858	ATP phosphoribosyltransferase (EC 2.4.2.17) => HisGl	- none -
fig|362418.15.peg.595	CDS	NZ_JPRL01000001	643139	644431	2	+	1293	Histidinol dehydrogenase (EC 1.1.1.23)	Histidine Biosynthesis
fig|362418.15.peg.596	CDS	NZ_JPRL01000001	644567	645610	2	+	1044	Histidinol-phosphate aminotransferase (EC 2.6.1.9)	Histidine Biosynthesis
fig|362418.15.peg.597	CDS	NZ_JPRL01000001	645641	646402	2	+	762	hypothetical protein	- none -
fig|362418.15.peg.598	CDS	NZ_JPRL01000001	646443	647579	3	+	1137	Histidinol-phosphatase (EC 3.1.3.15) / Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)	Histidine Biosynthesis; <br>Histidine Biosynthesis
fig|362418.15.peg.599	CDS	NZ_JPRL01000001	647649	648230	3	+	582	Imidazole glycerol phosphate synthase amidotransferase subunit HisH	- none -
fig|362418.15.peg.600	CDS	NZ_JPRL01000001	648330	649055	3	+	726	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16)	Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more.; <br>Histidine Biosynthesis
fig|362418.15.peg.601	CDS	NZ_JPRL01000001	649137	649892	3	+	756	Imidazole glycerol phosphate synthase cyclase subunit	- none -
fig|362418.15.peg.602	CDS	NZ_JPRL01000001	650061	650660	3	+	600	Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19) / Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)	Histidine Biosynthesis; <br>Histidine Biosynthesis; <br>Riboflavin synthesis cluster
fig|362418.15.peg.603	CDS	NZ_JPRL01000001	650781	651368	3	+	588	hypothetical protein	- none -
fig|362418.15.peg.604	CDS	NZ_JPRL01000001	652114	651416	-1	-	699	hypothetical protein	- none -
fig|362418.15.peg.605	CDS	NZ_JPRL01000001	652274	653929	2	+	1656	Peptidase M1 family protein	- none -
fig|362418.15.peg.606	CDS	NZ_JPRL01000001	655683	654139	-3	-	1545	hypothetical protein	- none -
fig|362418.15.peg.607	CDS	NZ_JPRL01000001	655839	657014	3	+	1176	2-isopropylmalate synthase (EC 2.3.3.13)	Branched-Chain Amino Acid Biosynthesis; <br>Leucine Biosynthesis
fig|362418.15.peg.608	CDS	NZ_JPRL01000001	657108	658226	3	+	1119	3-isopropylmalate dehydrogenase (EC 1.1.1.85)	Branched-Chain Amino Acid Biosynthesis; <br>Leucine Biosynthesis
fig|362418.15.peg.609	CDS	NZ_JPRL01000001	658497	660170	3	+	1674	Dihydroxy-acid dehydratase (EC 4.2.1.9)	Branched-Chain Amino Acid Biosynthesis
fig|362418.15.peg.610	CDS	NZ_JPRL01000001	660237	661925	3	+	1689	Acetolactate synthase large subunit (EC 2.2.1.6)	Acetolactate synthase subunits; <br>Branched-Chain Amino Acid Biosynthesis
fig|362418.15.peg.611	CDS	NZ_JPRL01000001	662022	662543	3	+	522	Acetolactate synthase small subunit (EC 2.2.1.6)	Acetolactate synthase subunits; <br>Branched-Chain Amino Acid Biosynthesis
fig|362418.15.peg.612	CDS	NZ_JPRL01000001	662605	664074	1	+	1470	Ketol-acid reductoisomerase (NADP(+)) (EC 1.1.1.86)	- none -
fig|362418.15.peg.613	CDS	NZ_JPRL01000001	664564	666471	1	+	1908	Acetyl-CoA synthetase (EC 6.2.1.1)	- none -
fig|362418.15.peg.614	CDS	NZ_JPRL01000001	667134	666538	-3	-	597	DNA polymerase III epsilon subunit (EC 2.7.7.7)	CBSS-228410.1.peg.134; <br>CBSS-342610.3.peg.1536
fig|362418.15.peg.615	CDS	NZ_JPRL01000001	669051	667138	-3	-	1914	Predicted signal-transduction protein containing cAMP-binding and CBS domains	CBSS-342610.3.peg.1536
fig|362418.15.peg.616	CDS	NZ_JPRL01000001	669778	669392	-1	-	387	hypothetical protein	- none -
fig|362418.15.peg.617	CDS	NZ_JPRL01000001	670284	669865	-3	-	420	hypothetical protein	- none -
fig|362418.15.peg.618	CDS	NZ_JPRL01000001	670397	671626	2	+	1230	Multidrug resistance transporter, Bcr/CflA family	Copper homeostasis
fig|362418.15.peg.619	CDS	NZ_JPRL01000001	672992	671733	-2	-	1260	NADH dehydrogenase (EC 1.6.99.3)	Respiratory dehydrogenases 1; <br>Riboflavin synthesis cluster
fig|362418.15.peg.620	CDS	NZ_JPRL01000001	674412	673078	-3	-	1335	ATP-dependent RNA helicase	- none -
fig|362418.15.peg.621	CDS	NZ_JPRL01000001	676056	674518	-3	-	1539	Helicase, C-terminal:Type III restriction enzyme, res subunit:DEAD/DEAH box helicase, N-terminal	- none -
fig|362418.15.peg.622	CDS	NZ_JPRL01000001	676698	676165	-3	-	534	hypothetical protein	- none -
fig|362418.15.peg.623	CDS	NZ_JPRL01000001	676886	677173	2	+	288	hypothetical protein	- none -
fig|362418.15.peg.624	CDS	NZ_JPRL01000001	677166	678422	3	+	1257	Putative membrane transport protein	- none -
fig|362418.15.peg.625	CDS	NZ_JPRL01000001	678972	678541	-3	-	432	hypothetical protein	- none -
fig|362418.15.peg.626	CDS	NZ_JPRL01000001	679106	679513	2	+	408	hypothetical protein	- none -
fig|362418.15.peg.627	CDS	NZ_JPRL01000001	679705	680217	1	+	513	hypothetical protein	- none -
fig|362418.15.peg.628	CDS	NZ_JPRL01000001	680336	680920	2	+	585	hypothetical protein	- none -
fig|362418.15.peg.629	CDS	NZ_JPRL01000001	680921	681496	2	+	576	cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases	- none -
fig|362418.15.peg.630	CDS	NZ_JPRL01000001	681574	682545	1	+	972	Quinone oxidoreductase (EC 1.6.5.5)	Quinone oxidoreductase family
fig|362418.15.peg.631	CDS	NZ_JPRL01000001	684353	682611	-2	-	1743	putative lipoprotein	- none -
fig|362418.15.peg.632	CDS	NZ_JPRL01000001	686376	684400	-3	-	1977	TTP-dependent protein, related to E1 component of pyruvate/2-oxoglutarate/acetoin dehydrogenase	- none -
fig|362418.15.peg.633	CDS	NZ_JPRL01000001	686728	687678	1	+	951	Oxidoreductase	- none -
fig|362418.15.peg.634	CDS	NZ_JPRL01000001	687815	688147	2	+	333	Translation initiation factor SUI1-related protein	- none -
fig|362418.15.peg.635	CDS	NZ_JPRL01000001	688305	689174	3	+	870	Purine nucleoside phosphorylase (EC 2.4.2.1)	Adenosyl nucleosidases; <br>Deoxyribose and Deoxynucleoside Catabolism; <br>Purine conversions; <br>pyrimidine conversions
fig|362418.15.peg.636	CDS	NZ_JPRL01000001	689228	689620	2	+	393	Prolyl endopeptidase (EC 3.4.21.26)	Serine endopeptidase (EC 3.4.21.-)
fig|362418.15.peg.637	CDS	NZ_JPRL01000001	689722	690195	1	+	474	hypothetical protein	- none -
fig|362418.15.peg.638	CDS	NZ_JPRL01000001	690249	691100	3	+	852	ACR269Cp	- none -
fig|362418.15.peg.639	CDS	NZ_JPRL01000001	691119	692051	3	+	933	hypothetical protein	- none -
fig|362418.15.peg.640	CDS	NZ_JPRL01000001	692228	692572	2	+	345	hypothetical protein	- none -
fig|362418.15.peg.641	CDS	NZ_JPRL01000001	692728	693045	1	+	318	Transcriptional regulator, ArsR family	CBSS-1085.1.peg.1363
fig|362418.15.peg.642	CDS	NZ_JPRL01000001	693051	693518	3	+	468	Ligand-binding SRPBCC domain protein family	- none -
fig|362418.15.peg.643	CDS	NZ_JPRL01000001	693525	693896	3	+	372	hypothetical protein	- none -
fig|362418.15.peg.644	CDS	NZ_JPRL01000001	693917	694474	2	+	558	hypothetical protein	- none -
fig|362418.15.peg.645	CDS	NZ_JPRL01000001	695242	694544	-1	-	699	hypothetical protein	- none -
fig|362418.15.peg.646	CDS	NZ_JPRL01000001	695463	696269	3	+	807	Short-chain dehydrogenase/reductase SDR	- none -
fig|362418.15.peg.647	CDS	NZ_JPRL01000001	696279	696584	3	+	306	hypothetical protein	- none -
fig|362418.15.peg.648	CDS	NZ_JPRL01000001	696611	697525	2	+	915	Transcriptional regulator, AraC family	- none -
fig|362418.15.peg.649	CDS	NZ_JPRL01000001	698330	697593	-2	-	738	Short-chain dehydrogenase	- none -
fig|362418.15.peg.650	CDS	NZ_JPRL01000001	698979	698410	-3	-	570	cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases	- none -
fig|362418.15.peg.651	CDS	NZ_JPRL01000001	699811	699047	-1	-	765	Methionine aminopeptidase (EC 3.4.11.18)	CBSS-312309.3.peg.1965; <br>Translation termination factors bacterial
fig|362418.15.peg.652	CDS	NZ_JPRL01000001	699986	700357	2	+	372	hypothetical protein	- none -
fig|362418.15.peg.653	CDS	NZ_JPRL01000001	700381	700644	1	+	264	hypothetical protein	- none -
fig|362418.15.peg.654	CDS	NZ_JPRL01000001	701219	700653	-2	-	567	hypothetical protein	- none -
fig|362418.15.peg.655	CDS	NZ_JPRL01000001	701257	701376	1	+	120	hypothetical protein	- none -
fig|362418.15.peg.656	CDS	NZ_JPRL01000001	701412	702506	3	+	1095	Acyltransferase	- none -
fig|362418.15.peg.657	CDS	NZ_JPRL01000001	702508	703041	1	+	534	hypothetical protein	- none -
fig|362418.15.peg.658	CDS	NZ_JPRL01000001	703209	704579	3	+	1371	hypothetical protein	- none -
fig|362418.15.peg.659	CDS	NZ_JPRL01000001	704631	705194	3	+	564	cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases	- none -
fig|362418.15.peg.660	CDS	NZ_JPRL01000001	705259	706032	1	+	774	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (EC 2.3.1.129)	- none -
fig|362418.15.peg.661	CDS	NZ_JPRL01000001	706165	706923	1	+	759	hypothetical protein	- none -
fig|362418.15.peg.662	CDS	NZ_JPRL01000001	707341	706952	-1	-	390	Glyoxalase family protein	- none -
fig|362418.15.peg.663	CDS	NZ_JPRL01000001	707573	707992	2	+	420	hypothetical protein	- none -
fig|362418.15.peg.664	CDS	NZ_JPRL01000001	708138	708629	3	+	492	hypothetical protein	- none -
fig|362418.15.peg.665	CDS	NZ_JPRL01000001	708701	709942	2	+	1242	hypothetical protein	- none -
fig|362418.15.peg.666	CDS	NZ_JPRL01000001	709989	710399	3	+	411	hypothetical protein	- none -
fig|362418.15.peg.667	CDS	NZ_JPRL01000001	711193	712983	1	+	1791	Efflux ABC transporter, permease/ATP-binding protein	- none -
fig|362418.15.peg.668	CDS	NZ_JPRL01000001	714257	713088	-2	-	1170	Carbapenem antibiotics biosynthesis protein carD	- none -
fig|362418.15.peg.669	CDS	NZ_JPRL01000001	714416	717121	2	+	2706	Membrane protein	- none -
fig|362418.15.peg.670	CDS	NZ_JPRL01000001	717239	718330	2	+	1092	3-dehydroquinate synthase (EC 4.2.3.4)	Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate)
fig|362418.15.peg.671	CDS	NZ_JPRL01000001	718629	720032	3	+	1404	Biosynthetic arginine decarboxylase (EC 4.1.1.19)	- none -
fig|362418.15.peg.672	CDS	NZ_JPRL01000001	720137	721105	2	+	969	Deoxyhypusine synthase (EC 2.5.1.46)	Alkaloid biosynthesis from L-lysine; <br>Modification of eukaryotic initiation factor 5A
fig|362418.15.peg.673	CDS	NZ_JPRL01000001	721113	721520	3	+	408	hypothetical protein	- none -
fig|362418.15.peg.674	CDS	NZ_JPRL01000001	721643	723751	2	+	2109	ATP-dependent DNA helicase RecQ	DNA repair, bacterial RecFOR pathway
fig|362418.15.peg.675	CDS	NZ_JPRL01000001	724424	723909	-2	-	516	hypothetical protein	- none -
fig|362418.15.peg.676	CDS	NZ_JPRL01000001	727040	724452	-2	-	2589	Phosphoenolpyruvate carboxylase (EC 4.1.1.31)	Pyruvate metabolism I: anaplerotic reactions, PEP
fig|362418.15.peg.677	CDS	NZ_JPRL01000001	727612	727133	-1	-	480	Transcriptional regulator, AsnC family	- none -
fig|362418.15.peg.678	CDS	NZ_JPRL01000001	728844	727690	-3	-	1155	hypothetical protein	- none -
fig|362418.15.peg.679	CDS	NZ_JPRL01000001	729157	729633	1	+	477	Transcriptional regulator	- none -
fig|362418.15.peg.680	CDS	NZ_JPRL01000001	730775	729765	-2	-	1011	hypothetical protein	- none -
fig|362418.15.peg.681	CDS	NZ_JPRL01000001	731408	730857	-2	-	552	Acyltransferase	- none -
fig|362418.15.peg.682	CDS	NZ_JPRL01000001	731475	732140	3	+	666	Spermidine synthase-like protein	- none -
fig|362418.15.peg.683	CDS	NZ_JPRL01000001	732152	732829	2	+	678	M23/M37 peptidase/aminotransferase, class III	- none -
fig|362418.15.peg.684	CDS	NZ_JPRL01000001	732836	733312	2	+	477	hypothetical protein	- none -
fig|362418.15.peg.685	CDS	NZ_JPRL01000001	733323	733847	3	+	525	hypothetical protein	- none -
fig|362418.15.peg.686	CDS	NZ_JPRL01000001	733898	734371	2	+	474	Ketosteroid isomerase-related protein	- none -
fig|362418.15.peg.687	CDS	NZ_JPRL01000001	736102	734615	-1	-	1488	Cysteine desulfurase (EC 2.8.1.7)	Alanine biosynthesis; <br>Iron-sulfur cluster assembly; <br>mnm5U34 biosynthesis bacteria
fig|362418.15.peg.688	CDS	NZ_JPRL01000001	736284	736814	3	+	531	Peptide-methionine (S)-S-oxide reductase MsrA (EC 1.8.4.11)	- none -
fig|362418.15.peg.689	CDS	NZ_JPRL01000001	736822	738390	1	+	1569	UPF0061 protein YdiU	- none -
fig|362418.15.peg.690	CDS	NZ_JPRL01000001	739418	738453	-2	-	966	Thioredoxin reductase (EC 1.8.1.9)	Thioredoxin-disulfide reductase; <br>pyrimidine conversions
fig|362418.15.peg.691	CDS	NZ_JPRL01000001	739918	739424	-1	-	495	hypothetical protein	- none -
fig|362418.15.peg.692	CDS	NZ_JPRL01000001	740199	740438	3	+	240	LSU ribosomal protein L21p	CBSS-176279.3.peg.868
fig|362418.15.peg.693	CDS	NZ_JPRL01000001	741580	740564	-1	-	1017	O-succinylbenzoate synthase (EC 4.2.1.113)	Muconate lactonizing enzyme family
fig|362418.15.peg.694	CDS	NZ_JPRL01000001	742842	741643	-3	-	1200	hypothetical protein	- none -
fig|362418.15.peg.695	CDS	NZ_JPRL01000001	743370	742846	-3	-	525	hypothetical protein	- none -
fig|362418.15.peg.696	CDS	NZ_JPRL01000001	744181	743504	-1	-	678	Metal-dependent hydrolase	- none -
fig|362418.15.peg.697	CDS	NZ_JPRL01000001	745174	744212	-1	-	963	1,4-dihydroxy-2-naphthoate polyprenyltransferase (EC 2.5.1.74)	- none -
fig|362418.15.peg.698	CDS	NZ_JPRL01000001	746098	745265	-1	-	834	Naphthoate synthase (EC 4.1.3.36)	- none -
fig|362418.15.peg.699	CDS	NZ_JPRL01000001	747567	747082	-3	-	486	hypothetical protein	- none -
fig|362418.15.peg.700	CDS	NZ_JPRL01000001	748583	747726	-2	-	858	Uncharacterized RNA-binding protein BT2505	- none -
fig|362418.15.peg.701	CDS	NZ_JPRL01000001	748752	750101	3	+	1350	Leucine aminopeptidase-related protein	- none -
fig|362418.15.peg.702	CDS	NZ_JPRL01000001	750501	750160	-3	-	342	hypothetical protein	- none -
fig|362418.15.peg.703	CDS	NZ_JPRL01000001	752268	750607	-3	-	1662	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)	- none -
fig|362418.15.peg.704	CDS	NZ_JPRL01000001	752444	753616	2	+	1173	hypothetical protein	- none -
fig|362418.15.peg.705	CDS	NZ_JPRL01000001	753679	754176	1	+	498	Acetyltransferase, GNAT family	- none -
fig|362418.15.peg.706	CDS	NZ_JPRL01000001	754855	754277	-1	-	579	Glutathione peroxidase (EC 1.11.1.9) @ Thioredoxin peroxidase (EC 1.11.1.15)	Glutathione: Redox cycle
fig|362418.15.peg.707	CDS	NZ_JPRL01000001	755393	755271	-2	-	123	hypothetical protein	- none -
fig|362418.15.peg.708	CDS	NZ_JPRL01000001	755666	756196	2	+	531	RNA polymerase sigma-70 factor	CBSS-313593.3.peg.2729; <br>Transcription initiation, bacterial sigma factors
fig|362418.15.peg.709	CDS	NZ_JPRL01000001	756196	756984	1	+	789	FIG111991: hypothetical protein	CBSS-313593.3.peg.2729
fig|362418.15.peg.710	CDS	NZ_JPRL01000001	757073	757462	2	+	390	hypothetical protein	- none -
fig|362418.15.peg.711	CDS	NZ_JPRL01000001	760735	757535	-1	-	3201	Putative cytochrome C-type biogenesis protein	Biogenesis of c-type cytochromes
fig|362418.15.peg.712	CDS	NZ_JPRL01000001	760932	761693	3	+	762	Ketopantoate reductase PanG (EC 1.1.1.169)	Coenzyme A Biosynthesis; <br>Coenzyme A Biosynthesis cluster; <br>Folate biosynthesis cluster
fig|362418.15.peg.713	CDS	NZ_JPRL01000001	761701	762204	1	+	504	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (EC 3.1.3.45)	- none -
fig|362418.15.peg.714	CDS	NZ_JPRL01000001	762309	763184	3	+	876	Similar to (S)-2,3-di-O-geranylgeranylglyceryl phosphate synthase	- none -
fig|362418.15.peg.715	CDS	NZ_JPRL01000001	763177	763761	1	+	585	Septum formation protein Maf	Bacterial cell division cluster; <br>CBSS-354.1.peg.2917
fig|362418.15.peg.716	CDS	NZ_JPRL01000001	763773	764303	3	+	531	Small-conductance mechanosensitive channel	- none -
fig|362418.15.peg.717	CDS	NZ_JPRL01000001	764403	765503	3	+	1101	Uncharacterized UPF0118 membrane protein	- none -
fig|362418.15.peg.718	CDS	NZ_JPRL01000001	765575	767401	2	+	1827	hypothetical protein	- none -
fig|362418.15.peg.719	CDS	NZ_JPRL01000001	767599	768114	1	+	516	hypothetical protein	- none -
fig|362418.15.peg.720	CDS	NZ_JPRL01000001	768299	769954	2	+	1656	hypothetical protein	- none -
fig|362418.15.peg.721	CDS	NZ_JPRL01000001	770255	772786	2	+	2532	hypothetical protein	- none -
fig|362418.15.peg.722	CDS	NZ_JPRL01000001	772789	772896	1	+	108	hypothetical protein	- none -
fig|362418.15.peg.723	CDS	NZ_JPRL01000001	772900	774615	1	+	1716	Sodium iodide symporter	- none -
fig|362418.15.peg.724	CDS	NZ_JPRL01000001	774672	775160	3	+	489	hypothetical protein	- none -
fig|362418.15.peg.725	CDS	NZ_JPRL01000001	775333	776061	1	+	729	hypothetical protein	- none -
fig|362418.15.peg.726	CDS	NZ_JPRL01000001	776153	776779	2	+	627	hypothetical protein	- none -
fig|362418.15.peg.727	CDS	NZ_JPRL01000001	777209	776796	-2	-	414	COGs COG3558	- none -
fig|362418.15.peg.728	CDS	NZ_JPRL01000001	777736	777212	-1	-	525	Transcriptional regulator, AcrR family	- none -
fig|362418.15.peg.729	CDS	NZ_JPRL01000001	778729	777887	-1	-	843	hypothetical protein	- none -
fig|362418.15.peg.730	CDS	NZ_JPRL01000001	779464	778802	-1	-	663	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	- none -
fig|362418.15.peg.731	CDS	NZ_JPRL01000001	780307	779594	-1	-	714	HesA/MoeB/ThiF family protein	- none -
fig|362418.15.peg.732	CDS	NZ_JPRL01000001	781001	780354	-2	-	648	Putative deoxyribonuclease YjjV	Deoxyribose and Deoxynucleoside Catabolism; <br>YcfH
fig|362418.15.peg.733	CDS	NZ_JPRL01000001	781600	781001	-1	-	600	hypothetical protein	- none -
fig|362418.15.peg.734	CDS	NZ_JPRL01000001	781699	782916	1	+	1218	Uncharacterized MFS-type transporter	- none -
fig|362418.15.peg.735	CDS	NZ_JPRL01000001	783083	783451	2	+	369	Transcriptional regulator, MecI family	- none -
fig|362418.15.peg.736	CDS	NZ_JPRL01000001	783458	785047	2	+	1590	Regulatory sensor-transducer, BlaR1/MecR1 family / TonB-dependent receptor	Ton and Tol transport systems
fig|362418.15.peg.737	CDS	NZ_JPRL01000001	785071	785439	1	+	369	Transcriptional regulator, MecI family	- none -
fig|362418.15.peg.738	CDS	NZ_JPRL01000001	785446	787245	1	+	1800	Regulatory sensor-transducer, BlaR1/MecR1 family / TonB-dependent receptor	Ton and Tol transport systems
fig|362418.15.peg.739	CDS	NZ_JPRL01000001	787252	788706	1	+	1455	Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily	- none -
fig|362418.15.peg.740	CDS	NZ_JPRL01000001	788711	790174	2	+	1464	hypothetical protein	- none -
fig|362418.15.peg.741	CDS	NZ_JPRL01000001	790256	790396	2	+	141	Uncharacterized protein Fjoh_2767	- none -
fig|362418.15.peg.742	CDS	NZ_JPRL01000001	790515	791315	3	+	801	Integral membrane protein	- none -
fig|362418.15.peg.743	CDS	NZ_JPRL01000001	791569	793761	1	+	2193	hypothetical protein	- none -
fig|362418.15.peg.744	CDS	NZ_JPRL01000001	794691	793825	-3	-	867	RIKEN cDNA 3110005O21 gene	- none -
fig|362418.15.peg.745	CDS	NZ_JPRL01000001	795860	794772	-2	-	1089	Biotin synthase (EC 2.8.1.6)	Biotin biosynthesis; <br>Biotin biosynthesis Experimental
fig|362418.15.peg.746	CDS	NZ_JPRL01000001	796469	796032	-2	-	438	hypothetical protein	- none -
fig|362418.15.peg.747	CDS	NZ_JPRL01000001	797517	796588	-3	-	930	FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26)	Riboflavin, FMN and FAD metabolism; <br>Riboflavin, FMN and FAD metabolism; <br>riboflavin to FAD; <br>riboflavin to FAD
