Function,Subsystem,NCBI GI,locus,System,Category
N5-carboxyaminoimidazole ribonucleotide mutase (EC 5.4.99.18),- none -, , ,none,none
N5-carboxyaminoimidazole ribonucleotide synthase (EC 6.3.4.18),- none -, , ,none,none
Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8),Folate biosynthesis cluster; <br>Purine conversions, , ,Folate and pterines; Purines,"Cofactors, Vitamins, Prosthetic Groups, Pigments; Nucleosides and Nucleotides"
Adenylate kinase (EC 2.7.4.3),Purine conversions, , ,Purines,Nucleosides and Nucleotides
Hemolysins and related proteins containing CBS domains,- none -, , ,none,none
GTP-binding protein Obg,CBSS-176279.3.peg.868, , ,none,none
TPR repeat precursor,- none -, , ,none,none
Amino acid ligase similar to peptidoglycan synthetases,- none -, , ,none,none
UPF0758 family protein,- none -, , ,none,none
2-haloalkanoic acid dehalogenase (EC 3.8.1.2),- none -, , ,none,none
Replication-associated recombination protein RarA,none, , ,DNA replication,DNA Metabolism
"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",- none -, , ,none,none
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
23S rRNA (guanosine(2251)-2&#39;-O)-methyltransferase (EC 2.1.1.185),RNA methylation, , ,RNA processing and modification,RNA Metabolism
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
SSU ribosomal protein S12p (S23e),Mycobacterium virulence operon involved in protein synthesis (SSU ribosomal proteins); <br>Ribosome SSU bacterial, , ,Invasion and intracellular resistance; Protein biosynthesis,"Protein Metabolism; Virulence, Disease and Defense"
SSU ribosomal protein S7p (S5e),Mycobacterium virulence operon involved in protein synthesis (SSU ribosomal proteins); <br>Ribosome SSU bacterial, , ,Invasion and intracellular resistance; Protein biosynthesis,"Protein Metabolism; Virulence, Disease and Defense"
Translation elongation factor G,Mycobacterium virulence operon involved in protein synthesis (SSU ribosomal proteins); <br>Translation elongation factor G family; <br>Translation elongation factors bacterial, , ,Invasion and intracellular resistance; Protein biosynthesis,"Protein Metabolism; Virulence, Disease and Defense"
SSU ribosomal protein S10p (S20e),Ribosome LSU/SSU bacterial; Ribosome SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
LSU ribosomal protein L3p (L3e),Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
LSU ribosomal protein L4p (L1e),Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
LSU ribosomal protein L23p (L23Ae),Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
LSU ribosomal protein L2p (L8e),Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
SSU ribosomal protein S19p (S15e),Ribosome LSU/SSU bacterial; Ribosome SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
LSU ribosomal protein L22p (L17e),Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
SSU ribosomal protein S3p (S3e),Ribosome LSU/SSU bacterial; Ribosome SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
LSU ribosomal protein L16p (L10e),Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
LSU ribosomal protein L29p (L35e),Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
SSU ribosomal protein S17p (S11e),Ribosome LSU/SSU bacterial; Ribosome SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
LSU ribosomal protein L14p (L23e),Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
LSU ribosomal protein L24p (L26e),Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
LSU ribosomal protein L5p (L11e),Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
"SSU ribosomal protein S14p (S29e) @ SSU ribosomal protein S14p (S29e), zinc-independent",<br>Ribosome SSU bacterial; Ribosome LSU/SSU bacterial; Ribosome SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
SSU ribosomal protein S8p (S15Ae),Ribosome LSU/SSU bacterial; Ribosome SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
LSU ribosomal protein L6p (L9e),Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
LSU ribosomal protein L18p (L5e),Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
SSU ribosomal protein S5p (S2e),Ribosome LSU/SSU bacterial; Ribosome SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
LSU ribosomal protein L30p (L7e),Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
LSU ribosomal protein L15p (L27Ae),Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
Protein translocase subunit SecY,Protein transport, , ,Protein transport,Membrane Transport
Translation initiation factor 1,Translation initiation factors bacterial, , ,Protein biosynthesis,Protein Metabolism
SSU ribosomal protein S13p (S18e),Ribosome LSU/SSU bacterial; Ribosome SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
SSU ribosomal protein S11p (S14e),Ribosome LSU/SSU bacterial; Ribosome SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
"SSU ribosomal protein S4p (S9e) @ SSU ribosomal protein S4p (S9e), zinc-independent",Ribosome LSU/SSU bacterial; Ribosome SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6),RNA polymerase bacterial, , ,Transcription,RNA Metabolism
LSU ribosomal protein L17p,Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
Carbamoyl-phosphate synthase small chain (EC 6.3.5.5),- none -, , ,none,none
Enolase (EC 4.2.1.11),- none -, , ,none,none
Citrate synthase (si) (EC 2.3.3.1),Glyoxylate bypass, , ,Central carbohydrate metabolism,Carbohydrates
"NG,NG-dimethylarginine dimethylaminohydrolase 1 (EC 3.5.3.18)",Dimethylarginine metabolism, , ,Stress Response - no subcategory,Stress Response
UPF0056 inner membrane protein MarC,- none -, , ,none,none
Predicted CoA-binding domain COG1832,- none -, , ,none,none
Recombination protein RecR,"DNA processing cluster; <br>DNA repair, bacterial RecFOR pathway", , ,"DNA repair; DNA uptake, competence",DNA Metabolism
Polysaccharide export outer membrane protein,- none -, , ,none,none
Tyrosine-protein kinase (EC 2.7.10.2),- none -, , ,none,none
UDP-glucose 4-epimerase (EC 5.1.3.2),Lactose and Galactose Uptake and Utilization; <br>N-linked Glycosylation in Bacteria; <br>Rhamnose containing glycans, , ,Capsular and extracellular polysacchrides; Di- and oligosaccharides; Protein processing and modification,Carbohydrates; Cell Wall and Capsule; Protein Metabolism
UDP-glucose 6-dehydrogenase (EC 1.1.1.22),- none -, , ,none,none
Transcriptional activator RfaH,Transcription factors bacterial, , ,Transcription,RNA Metabolism
UDP-N-acetyl-D-glucosamine 6-dehydrogenase (EC 1.1.1.136),- none -, , ,none,none
Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13),- none -, , ,none,none
"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)",Rhamnose containing glycans; <br>dTDP-rhamnose synthesis, , ,Capsular and extracellular polysacchrides,Cell Wall and Capsule
Polysialic acid transport protein KpsD precursor,none, , ,Membrane Transport - no subcategory,Membrane Transport
putative protein involved in capsular polysaccharide biosynthesis,Capsular Polysaccharides Biosynthesis and Assembly, , ,Capsular and extracellular polysacchrides,Cell Wall and Capsule
Glycosyltransferase,- none -, , ,none,none
Maltose O-acetyltransferase,- none -, , ,none,none
"capsular polysaccharide biosynthesis protein, putative",Capsular Polysaccharides Biosynthesis and Assembly; Polysaccharide biosynthesis, , ,Capsular and extracellular polysacchrides; Polysaccharides,Carbohydrates; Cell Wall and Capsule
Serine acetyltransferase (EC 2.3.1.30),Cysteine Biosynthesis; <br>Methionine Biosynthesis, , ,"Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
Radical SAM,- none -, , ,none,none
Glycosyltransferase,- none -, , ,none,none
"Alpha-L-Rha alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.-)",Rhamnose containing glycans, , ,Capsular and extracellular polysacchrides,Cell Wall and Capsule
Lipid carrier : UDP-N-acetylgalactosaminyltransferase (EC 2.4.1.-),N-linked Glycosylation in Bacteria, , ,Protein processing and modification,Protein Metabolism
4-keto-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) aminotransferase,N-linked Glycosylation in Bacteria, , ,Protein processing and modification,Protein Metabolism
"glycosyl transferase, family 2",- none -, , ,none,none
UDP-glucose 4-epimerase (EC 5.1.3.2),Lactose and Galactose Uptake and Utilization; <br>N-linked Glycosylation in Bacteria; <br>Rhamnose containing glycans, , ,Capsular and extracellular polysacchrides; Di- and oligosaccharides; Protein processing and modification,Carbohydrates; Cell Wall and Capsule; Protein Metabolism
putative UndPP-QuiNAc-P-transferase,- none -, , ,none,none
"dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)",Rhamnose containing glycans; <br>dTDP-rhamnose synthesis, , ,Capsular and extracellular polysacchrides,Cell Wall and Capsule
dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133),Rhamnose containing glycans; <br>dTDP-rhamnose synthesis, , ,Capsular and extracellular polysacchrides,Cell Wall and Capsule
Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24),Rhamnose containing glycans; <br>dTDP-rhamnose synthesis, , ,Capsular and extracellular polysacchrides,Cell Wall and Capsule
Capsular polysaccharide biosynthesis protein capD,Capsular Polysaccharides Biosynthesis and Assembly; Polysaccharide biosynthesis, , ,Capsular and extracellular polysacchrides; Polysaccharides,Carbohydrates; Cell Wall and Capsule
"O-antigen export system, permease protein",- none -, , ,none,none
"Polysaccharide ABC transporter, ATP-binding protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
"Glycosyl transferase, family 2",- none -, , ,none,none
Glycosyltransferase,- none -, , ,none,none
"Beta-1,3-glucosyltransferase",- none -, , ,none,none
"glycosyl transferase, family 2",- none -, , ,none,none
"Glycosyl transferase, group 2 family",- none -, , ,none,none
TPR/glycosyl transferase domain protein,- none -, , ,none,none
N-acylneuraminate cytidylyltransferase (EC 2.7.7.43),- none -, , ,none,none
N-acetylneuraminate synthase (EC 2.5.1.56),CMP-N-acetylneuraminate Biosynthesis, , ,Capsular and extracellular polysacchrides,Cell Wall and Capsule
UDP-N-acetylglucosamine 2-epimerase (hydrolyzing) (EC 3.2.1.183),- none -, , ,none,none
"Glycosyl transferase, group 1",- none -, , ,none,none
Probable poly(beta-D-mannuronate) O-acetylase (EC 2.3.1.-),- none -, , ,none,none
Glycosyltransferase,- none -, , ,none,none
"Glycosyl transferase, family 2",- none -, , ,none,none
"Glycosyl transferase, family 2",- none -, , ,none,none
SAM-dependent methyltransferase,- none -, , ,none,none
Hexapeptide transferase family protein,- none -, , ,none,none
"Glycosyl transferase, group 1 (EC 2.-.-.-)",- none -, , ,none,none
"Alpha-1,4-N-acetylgalactosamine transferase PglH (EC 2.4.1.-)",N-linked Glycosylation in Bacteria, , ,Protein processing and modification,Protein Metabolism
Oligosaccharide repeat unit polymerase Wzy,- none -, , ,none,none
Bacterial sugar transferase,- none -, , ,none,none
CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8),- none -, , ,none,none
"Lyzozyme M1 (1,4-beta-N-acetylmuramidase) (EC 3.2.1.17)",- none -, , ,none,none
"Lipopolysaccharide ABC transporter, ATP-binding protein LptB",none, , ,ABC-transporters; Gram-Negative cell wall components; Membrane Transport - no subcategory,Cell Wall and Capsule; Membrane Transport
Twin-arginine translocation protein TatC,Cluster-based Subsystem Grouping Hypotheticals - perhaps Proteosome Related; <br>Twin-arginine translocation system, , ,Protein translocation across cytoplasmic membrane,Membrane Transport
D-arabinose-5-phosphate isomerase (EC 5.3.1.13),- none -, , ,none,none
ATP-dependent DNA helicase RecQ,"DNA helicase; DNA repair, bacterial RecFOR pathway", , ,DNA Metabolism - no subcategory; DNA repair,DNA Metabolism
NAD-utilizing dehydrogenases,- none -, , ,none,none
Quinone oxidoreductase (EC 1.6.5.5),Quinone oxidoreductase family, , ,Respiration - no subcategory,Respiration
Xaa-Pro aminopeptidase (EC 3.4.11.9),Aminopeptidases; Aminopeptidases (EC 3.4.11.-); Protein degradation, , ,Protein degradation,Protein Metabolism
Peptide-methionine (S)-S-oxide reductase MsrA (EC 1.8.4.11),- none -, , ,none,none
Peptide-methionine (R)-S-oxide reductase MsrB (EC 1.8.4.12),- none -, , ,none,none
Isopentenyl-diphosphate Delta-isomerase (EC 5.3.3.2),- none -, , ,none,none
6-pyruvoyl tetrahydrobiopterin synthase (EC 4.2.3.12),Pterin synthesis related cluster, , ,Folate and pterines,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
"Thiol peroxidase, Bcp-type (EC 1.11.1.15)",Thioredoxin-disulfide reductase, , ,Sulfur Metabolism - no subcategory,Sulfur Metabolism
Mannose-6-phosphate isomerase (EC 5.3.1.8),Mannose Metabolism, , ,Monosaccharides,Carbohydrates
Hydroxymethylglutaryl-CoA reductase (EC 1.1.1.34),Isoprenoid Biosynthesis; <br>Mevalonate Branch of Isoprenoid Biosynthesis, , ,Isoprenoids,"Fatty Acids, Lipids, and Isoprenoids"
Asl0491 protein,- none -, , ,none,none
Fatty acid hydroxylase family (carotene hydroxylase/sterol desaturase),- none -, , ,none,none
Transglycosylase-associated protein,- none -, , ,none,none
Aquaporin Z,Osmoregulation, , ,Osmotic stress,Stress Response
Permease of the drug/metabolite transporter (DMT) superfamily,none, , ,Membrane Transport - no subcategory,Membrane Transport
Chaperone protein HtpG,Protein chaperones, , ,Protein folding,Protein Metabolism
OmpA family protein,- none -, , ,none,none
"Ferric iron ABC transporter, ATP-binding protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
FIG01093517: hypothetical protein,- none -, , ,none,none
"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)",- none -, , ,none,none
Cytoplasmic copper homeostasis protein CutC,Copper homeostasis: copper tolerance, , ,Resistance to antibiotics and toxic compounds,"Virulence, Disease and Defense"
Putative TonB-dependent receptor,Ton and Tol transopt system, , ,Membrane Transport - no subcategory,Membrane Transport
Arginyl-tRNA synthetase (EC 6.1.1.19),"tRNA aminoacylation, Arg", , ,Protein biosynthesis,Protein Metabolism
TonB-dependent receptor,Ton and Tol transopt system; Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
Putative periplasmic protein,- none -, , ,none,none
Putative periplasmic protein,- none -, , ,none,none
Probable poly(beta-D-mannuronate) O-acetylase (EC 2.3.1.-),- none -, , ,none,none
Signal recognition particle protein Ffh,- none -, , ,none,none
Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9) / Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5),5-FCL-like protein; <br>One-carbon metabolism by tetrahydropterines; <br>One-carbon metabolism by tetrahydropterines, , ,Folate and pterines; One-carbon Metabolism,"Carbohydrates; Cofactors, Vitamins, Prosthetic Groups, Pigments"
Sensory transduction regulatory protein,- none -, , ,none,none
LSU rRNA pseudouridine(2604) synthase (EC 5.4.99.21),Pseudouridinylation, , ,RNA processing and modification,RNA Metabolism
FIG00907047: phosphodiesterase/nucleotide pyrophosphatase,- none -, , ,none,none
TIM barrel protein possibly involved in myo-inositol catabolism,- none -, , ,none,none
3-dehydroquinate synthase (EC 4.2.3.4),Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate), , ,Aromatic amino acids and derivatives,Amino Acids and Derivatives
"Aromatic prenyltransferase 1, UbiA family",- none -, , ,none,none
FIG00567468: TatD-related DNase,- none -, , ,none,none
Arylsulfatase (EC 3.1.6.1),Galactosylceramide and Sulfatide metabolism; <br>Sulfatases and sulfatase modifying factor 1, , ,Sulfur Metabolism - no subcategory,Sulfur Metabolism
"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)",Pentose phosphate pathway, , ,Central carbohydrate metabolism,Carbohydrates
Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49),Pentose phosphate pathway, , ,Central carbohydrate metabolism,Carbohydrates
"6-phosphogluconolactonase (EC 3.1.1.31), eukaryotic type",Pentose phosphate pathway, , ,Central carbohydrate metabolism,Carbohydrates
"TonB-dependent receptor, plug precursor",Ton and Tol transopt system, , ,Membrane Transport - no subcategory,Membrane Transport
Putative anti-sigma factor,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
RNA polymerase ECF-type sigma factor,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
Conserved repeat domain protein,- none -, , ,none,none
Outer membrane lipoprotein omp16 precursor,Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
Coenzyme F420-dependent oxidoreductase,Anaerobic respiratory reductases, , ,Electron accepting reactions,Respiration
"Transcriptional regulator, ArsR family",none, , ,RNA processing and modification,RNA Metabolism
Arylsulfatase (EC 3.1.6.1),Galactosylceramide and Sulfatide metabolism; <br>Sulfatases and sulfatase modifying factor 1, , ,Sulfur Metabolism - no subcategory,Sulfur Metabolism
PhnB protein; putative DNA binding 3-demethylubiquinone-9 3-methyltransferase domain protein,- none -, , ,none,none
Glyoxalase family protein,- none -, , ,none,none
"Transcriptional regulator, AraC family",none, , ,RNA processing and modification,RNA Metabolism
Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily,- none -, , ,none,none
Cytidine deaminase (EC 3.5.4.5),pyrimidine conversions, , ,Pyrimidines,Nucleosides and Nucleotides
Outer membrane lipoprotein omp16 precursor,Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
Phage tail fiber protein,Phage tail fiber proteins, , ,"Phages, Prophages","Phages, Prophages, Transposable elements, Plasmids"
Agmatine deiminase (EC 3.5.3.12),Arginine and Ornithine Degradation; <br>Polyamine Metabolism, , ,"Arginine; Arginine; urea cycle, polyamines; urea cycle, polyamines",Amino Acids and Derivatives
Outer membrane porin F precursor,- none -, , ,none,none
N-carbamoylputrescine amidase (EC 3.5.1.53) @ Aliphatic amidase AmiE (EC 3.5.1.4),- none -, , ,none,none
Chaperone protein ClpB (ATP-dependent unfoldase),- none -, , ,none,none
General stress protein,- none -, , ,none,none
Guanosine polyphosphate pyrophosphohydrolases/synthetases,- none -, , ,none,none
Argininosuccinate lyase (EC 4.3.2.1),- none -, , ,none,none
N-succinyl-L-citrulline deacetylase,- none -, , ,none,none
N-succinylglutamate kinase,- none -, , ,none,none
N-succinylornithine carbamoyltransferase (EC 2.1.3.11),- none -, , ,none,none
Glutamate 5-kinase (EC 2.7.2.11),Proline Synthesis, , ,Proline and 4-hydroxyproline,Amino Acids and Derivatives
Gamma-glutamyl phosphate reductase (EC 1.2.1.41),Proline Synthesis, , ,Proline and 4-hydroxyproline,Amino Acids and Derivatives
N-succinylornithine aminotransferase,- none -, , ,none,none
N-succinyl-gamma-glutamyl-phosphate reductase,- none -, , ,none,none
Argininosuccinate synthase (EC 6.3.4.5),- none -, , ,none,none
N-succinyl-L-citrulline:glutamate succinyltransferase,- none -, , ,none,none
Peptidase,Protein degradation, , ,Protein degradation,Protein Metabolism
LacX protein,- none -, , ,none,none
"Acetyltransferase, GNAT family",- none -, , ,none,none
tmRNA-binding protein SmpB,Translation termination factors bacterial, , ,Protein biosynthesis,Protein Metabolism
"Fic domain protein, MA2133 type",- none -, , ,none,none
Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77),Lanthionine Synthetases; <br>Protein-L-isoaspartate O-methyltransferase; <br>Ton and Tol transport systems, , ,Membrane Transport - no subcategory; Protein processing and modification; Secondary Metabolism - no subcategory,Membrane Transport; Protein Metabolism; Secondary Metabolism
"Oxidoreductase, Gfo/Idh/MocA family",- none -, , ,none,none
3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157),Acetyl-CoA fermentation to Butyrate; <br>Butanol Biosynthesis, , ,Fermentation,Carbohydrates
Pyridoxal phosphate-containing protein YggS,- none -, , ,none,none
Hypothetical protein Fjoh_3451,- none -, , ,none,none
"Potassium voltage-gated channel subfamily KQT; possible potassium channel, VIC family",Potassium homeostasis, , ,Potassium metabolism - no subcategory,Potassium metabolism
tRNA dimethylallyltransferase (EC 2.5.1.75),tRNA processing, , ,RNA processing and modification,RNA Metabolism
Acyl-acyl carrier protein thioesterase (EC 3.1.2.14),- none -, , ,none,none
"Two-component transcriptional response regulator, OmpR family",Two-component regulatory system, , ,RNA processing and modification; Regulation and Cell signaling - no subcategory,RNA Metabolism; Regulation and Cell signaling
Two-component system sensor histidine kinase,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
Dephospho-CoA kinase (EC 2.7.1.24),Coenzyme A Biosynthesis, , ,Coenzyme A,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
Glycosyltransferase,- none -, , ,none,none
"Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9), FabV => refractory to triclosan",- none -, , ,none,none
DNA repair protein RecN,"DNA repair, bacterial; none", , ,DNA repair,DNA Metabolism
Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36) / Phosphopantothenoylcysteine synthetase (EC 6.3.2.5),Coenzyme A Biosynthesis; <br>Coenzyme A Biosynthesis, , ,Coenzyme A,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
DNA-directed RNA polymerase omega subunit (EC 2.7.7.6),CBSS-176299.4.peg.1292; <br>RNA polymerase bacterial, , ,Transcription,RNA Metabolism
Outer membrane assembly lipoprotein YfiO,- none -, , ,none,none
4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7),"Lysine Biosynthesis DAP Pathway; <br>Lysine Biosynthesis DAP Pathway, GJO scratch", , ,"Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
5&#39;-nucleotidase (EC 3.1.3.5),Purine conversions; <br>pyrimidine conversions, , ,Purines; Pyrimidines,Nucleosides and Nucleotides
5&#39;-nucleotidase (EC 3.1.3.5),Purine conversions; <br>pyrimidine conversions, , ,Purines; Pyrimidines,Nucleosides and Nucleotides
DNA ligase (NAD(+)) (EC 6.5.1.2),- none -, , ,none,none
Outer membrane lipoprotein omp16 precursor,Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
LSU ribosomal protein L9p,Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
"SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent",<br>Ribosome SSU bacterial; Ribosome LSU/SSU bacterial; Ribosome SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
SSU ribosomal protein S6p,Ribosome LSU/SSU bacterial; Ribosome SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
Two-component system response regulator protein,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
Helicase PriA essential for oriC/DnaA-independent DNA replication,DNA helicase; none, , ,DNA Metabolism - no subcategory; DNA replication,DNA Metabolism
Subclass B1 beta-lactamase (EC 3.5.2.6),- none -, , ,none,none
"Inner membrane protein YihY, formerly thought to be RNase BN",LMPTP YfkJ cluster; <br>Riboflavin synthesis cluster, , ,none,none
Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19),Mycobacterium virulence operon possibly involved in quinolinate biosynthesis; <br>NAD and NADP cofactor biosynthesis global, , ,Invasion and intracellular resistance; NAD and NADP,"Cofactors, Vitamins, Prosthetic Groups, Pigments; Virulence, Disease and Defense"
Triacylglycerol lipase (EC 3.1.1.3),- none -, , ,none,none
DNA alkylation repair enzyme,none, , ,DNA repair,DNA Metabolism
"CzcABC family efflux RND transporter, transmembrane protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
"CzcABC family efflux RND transporter, membrane fusion protein",none, , ,ABC-transporters; Membrane Transport - no subcategory,Membrane Transport
SAM-dependent methyltransferase,- none -, , ,none,none
"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)",Copper Transport System; <br>Copper homeostasis, , ,Cation transporters; Resistance to antibiotics and toxic compounds,"Membrane Transport; Virulence, Disease and Defense"
Pirin,- none -, , ,none,none
Pirin,- none -, , ,none,none
"Acetyltransferase, GNAT family",- none -, , ,none,none
Adenosine deaminase (EC 3.5.4.4),Purine conversions, , ,Purines,Nucleosides and Nucleotides
Uncharacterized protein YczJ,- none -, , ,none,none
23S rRNA (pseudouridine(1915)-N(3))-methyltransferase (EC 2.1.1.177),Pseudouridinylation; RNA methylation, , ,RNA processing and modification,RNA Metabolism
Dihydropteroate synthase (EC 2.5.1.15),Folate Biosynthesis; <br>Folate biosynthesis cluster, , ,Folate and pterines,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
Uncharacterized protein BT_3928,- none -, , ,none,none
"ABC-type branched-chain amino acid transport systems, periplasmic component",none, , ,ABC-transporters,Membrane Transport
Thioredoxin family protein,- none -, , ,none,none
Triosephosphate isomerase (EC 5.3.1.1),- none -, , ,none,none
Alkaline phosphatase (EC 3.1.3.1),Phosphate metabolism; <br>Pterin synthesis related cluster, , ,Folate and pterines; Phosphorus Metabolism - no subcategory,"Cofactors, Vitamins, Prosthetic Groups, Pigments; Phosphorus Metabolism"
Peroxiredoxin OsmC (EC 1.11.1.15),- none -, , ,none,none
Biopolymer transport protein ExbD/TolR,Ton and Tol transport systems; none, , ,Membrane Transport - no subcategory,Membrane Transport
Biopolymer transport protein ExbD/TolR,Ton and Tol transport systems; none, , ,Membrane Transport - no subcategory,Membrane Transport
SSU ribosomal protein S1p,Ribosome LSU/SSU bacterial; Ribosome SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
Xanthosine permease,- none -, , ,none,none
Cytidylate kinase (EC 2.7.4.25),pyrimidine conversions, , ,Pyrimidines,Nucleosides and Nucleotides
low affinity penicillin binding protein,- none -, , ,none,none
ATP-dependent protease La (EC 3.4.21.53) Type I,"Proteolysis in bacteria, ATP-dependent", , ,Protein degradation,Protein Metabolism
RNA polymerase ECF-type sigma factor,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
Penicillin-binding protein,- none -, , ,none,none
Uncharacterized MFS-type transporter,none, , ,Membrane Transport - no subcategory,Membrane Transport
Zn-dependent protease with chaperone function PA4632,Protein degradation, , ,Protein degradation,Protein Metabolism
Putative hydrolase,- none -, , ,none,none
Peptide-methionine (R)-S-oxide reductase MsrB (EC 1.8.4.12),- none -, , ,none,none
Endonuclease III (EC 4.2.99.18),Nuclease, , ,DNA Metabolism - no subcategory; RNA processing and modification,DNA Metabolism; RNA Metabolism
TPR-repeat-containing protein,- none -, , ,none,none
DNA gyrase subunit A (EC 5.99.1.3),"DNA gyrase subunits; <br>DNA replication cluster 1; <br>DNA topoisomerases, Type II, ATP-dependent; <br>Resistance to fluoroquinolones", , ,DNA replication; Resistance to antibiotics and toxic compounds,"DNA Metabolism; Virulence, Disease and Defense"
"ATP-dependent Clp protease, ATP-binding subunit ClpC","Proteolysis in bacteria, ATP-dependent", , ,Protein degradation,Protein Metabolism
hypothetical protein sometimes fused to ribosomal protein S6 glutaminyl transferase / Ribosomal protein S6--L-glutamate ligase,Ribosome LSU/SSU bacterial, , ,Protein biosynthesis,Protein Metabolism
