Function,Subsystem,NCBI GI,locus,System,Category
Pentapeptide repeat family protein,- none -, , ,none,none
"Death on curing protein, Doc toxin","Phd-Doc, YdcE-YdcD toxin-antitoxin (programmed cell death) systems", , ,Programmed Cell Death and Toxin-antitoxin Systems,Regulation and Cell signaling
N-acetylmuramic acid 6-phosphate etherase (EC 4.2.1.126),- none -, , ,none,none
"Zinc transporter, ZIP family",none, , ,Membrane Transport - no subcategory,Membrane Transport
SAM-dependent methyltransferase,- none -, , ,none,none
23S rRNA (guanine(2445)-N(2))-methyltransferase (EC 2.1.1.173),RNA methylation, , ,RNA processing and modification,RNA Metabolism
"RNA methyltransferase, TrmA family",RNA methylation, , ,RNA processing and modification,RNA Metabolism
Dihydroxy-acid dehydratase (EC 4.2.1.9),Branched-Chain Amino Acid Biosynthesis, , ,Branched-chain amino acids,Amino Acids and Derivatives
Modulator of drug activity B,- none -, , ,none,none
Mobile element protein,- none -, , ,none,none
Toxin HigB,- none -, , ,none,none
Antitoxin HigA,- none -, , ,none,none
"Thiol peroxidase, Bcp-type (EC 1.11.1.15)",Thioredoxin-disulfide reductase, , ,Sulfur Metabolism - no subcategory,Sulfur Metabolism
Endonuclease III (EC 4.2.99.18),Nuclease, , ,DNA Metabolism - no subcategory; RNA processing and modification,DNA Metabolism; RNA Metabolism
RNA polymerase ECF-type sigma factor,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
Excinuclease ABC subunit A paralog in greater Bacteroides group,"DNA repair, UvrABC system", , ,DNA repair,DNA Metabolism
Polysaccharide biosynthesis protein,Polysaccharide biosynthesis, , ,Polysaccharides,Carbohydrates
TPR/glycosyl transferase domain protein,- none -, , ,none,none
2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29),Glycine Biosynthesis; <br>Glycine and Serine Utilization, , ,"Alanine, serine, and glycine",Amino Acids and Derivatives
Putative metal-dependent hydrolase YfiT,- none -, , ,none,none
"Acetyltransferase, GNAT family",- none -, , ,none,none
General stress protein,- none -, , ,none,none
Maebl,- none -, , ,none,none
Ferredoxin-dependent glutamate synthase (EC 1.4.7.1),"Ammonia assimilation; <br>Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis", , ,"Glutamine, glutamate, aspartate, asparagine; Nitrogen Metabolism - no subcategory; ammonia assimilation",Amino Acids and Derivatives; Nitrogen Metabolism
"Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.66)",- none -, , ,none,none
DEAD-box ATP-dependent RNA helicase DeaD (= CshA) (EC 3.6.4.13),RNA helicase, , ,RNA Metabolism - no subcategory,RNA Metabolism
Cytosol nonspecific dipeptidase (EC 3.4.13.18),Dipeptidases; Protein degradation, , ,Protein degradation,Protein Metabolism
NADH dehydrogenase (EC 1.6.99.3),Respiratory dehydrogenases 1; <br>Riboflavin synthesis cluster, , ,Electron donating reactions,Respiration
FIG00431159: hypothetical protein,- none -, , ,none,none
Uncharacterized Nudix hydrolase NudL,- none -, , ,none,none
"putative oxidoreductase, nitronate monooxygenase family",- none -, , ,none,none
tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13),RNA methylation, , ,RNA processing and modification,RNA Metabolism
hypothetical exported 24-amino acid repeat protein,- none -, , ,none,none
"Inner membrane protein translocase and chaperone YidC, long form",Protein transport, , ,Protein transport,Membrane Transport
CTP synthase (EC 6.3.4.2),pyrimidine conversions, , ,Pyrimidines,Nucleosides and Nucleotides
Uncharacterized protein YpeB,- none -, , ,none,none
LysM-repeat proteins and domains,- none -, , ,none,none
"GMP synthase [glutamine-hydrolyzing], amidotransferase subunit (EC 6.3.5.2) / GMP synthase [glutamine-hydrolyzing], ATP pyrophosphatase subunit (EC 6.3.5.2)",GMP synthase; <br>GMP synthase; <br>Purine conversions; <br>Purine conversions; <br>Purine salvage cluster; <br>Purine salvage cluster, , ,Purines,Nucleosides and Nucleotides
"RidA/YER057c/UK114 superfamily, group 6",- none -, , ,none,none
EriC-type fluoride/proton exchange protein,- none -, , ,none,none
"3&#39;-to-5&#39; oligoribonuclease A, Bacillus type",Nuclease, , ,RNA processing and modification,RNA Metabolism
GldI,- none -, , ,none,none
Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8),- none -, , ,none,none
Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8),- none -, , ,none,none
"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)",Copper Transport System; <br>Copper homeostasis, , ,Cation transporters; Resistance to antibiotics and toxic compounds,"Membrane Transport; Virulence, Disease and Defense"
Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1),De Novo Purine Biosynthesis, , ,Purines,Nucleosides and Nucleotides
"Glutamine synthetase type III, GlnN (EC 6.3.1.2)","Ammonia assimilation; <br>Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis; <br>Glutamine synthetases", , ,"Glutamine, glutamate, aspartate, asparagine; Glutamine, glutamate, aspartate, asparagine; Nitrogen Metabolism - no subcategory; ammonia assimilation; ammonia assimilation",Amino Acids and Derivatives; Nitrogen Metabolism
"Glutamine synthetase type II, eukaryotic (EC 6.3.1.2)","Ammonia assimilation; <br>Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis; <br>Glutamine synthetases", , ,"Glutamine, glutamate, aspartate, asparagine; Glutamine, glutamate, aspartate, asparagine; Nitrogen Metabolism - no subcategory; ammonia assimilation; ammonia assimilation",Amino Acids and Derivatives; Nitrogen Metabolism
Integral membrane protein TerC,- none -, , ,none,none
Valyl-tRNA synthetase (EC 6.1.1.9),"tRNA aminoacylation, Val", , ,Protein biosynthesis,Protein Metabolism
Alanine transaminase (EC 2.6.1.2),- none -, , ,none,none
GTP cyclohydrolase I (EC 3.5.4.16) type 1,Folate Biosynthesis; <br>Folate biosynthesis cluster; <br>Pterin synthesis related cluster, , ,Folate and pterines,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
Cysteinyl-tRNA synthetase (EC 6.1.1.16),"tRNA aminoacylation, Cys", , ,Protein biosynthesis,Protein Metabolism
Membrane protein insertion efficiency factor YidD,- none -, , ,none,none
Prolipoprotein diacylglyceryl transferase,- none -, , ,none,none
Mannose-6-phosphate isomerase (EC 5.3.1.8),Mannose Metabolism, , ,Monosaccharides,Carbohydrates
"Thiol peroxidase, Bcp-type (EC 1.11.1.15)",Thioredoxin-disulfide reductase, , ,Sulfur Metabolism - no subcategory,Sulfur Metabolism
6-pyruvoyl tetrahydrobiopterin synthase (EC 4.2.3.12),Pterin synthesis related cluster, , ,Folate and pterines,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
Isopentenyl-diphosphate Delta-isomerase (EC 5.3.3.2),- none -, , ,none,none
Peptide-methionine (R)-S-oxide reductase MsrB (EC 1.8.4.12),- none -, , ,none,none
Peptide-methionine (S)-S-oxide reductase MsrA (EC 1.8.4.11),- none -, , ,none,none
NAD-utilizing dehydrogenases,- none -, , ,none,none
ATP-dependent DNA helicase RecQ,"DNA helicase; DNA repair, bacterial RecFOR pathway", , ,DNA Metabolism - no subcategory; DNA repair,DNA Metabolism
D-arabinose-5-phosphate isomerase (EC 5.3.1.13),- none -, , ,none,none
Twin-arginine translocation protein TatC,Cluster-based Subsystem Grouping Hypotheticals - perhaps Proteosome Related; <br>Twin-arginine translocation system, , ,Protein translocation across cytoplasmic membrane,Membrane Transport
"Lipopolysaccharide ABC transporter, ATP-binding protein LptB",none, , ,ABC-transporters; Gram-Negative cell wall components; Membrane Transport - no subcategory,Cell Wall and Capsule; Membrane Transport
"Lyzozyme M1 (1,4-beta-N-acetylmuramidase) (EC 3.2.1.17)",- none -, , ,none,none
CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8),- none -, , ,none,none
Bacterial sugar transferase,- none -, , ,none,none
Oligosaccharide repeat unit polymerase Wzy,- none -, , ,none,none
"Alpha-1,4-N-acetylgalactosamine transferase PglH (EC 2.4.1.-)",- none -, , ,none,none
"Glycosyl transferase, group 1 (EC 2.-.-.-)",- none -, , ,none,none
FIG00938299: hypothetical protein,- none -, , ,none,none
"Glycosyl transferase, family 2",- none -, , ,none,none
Glycosyltransferase,- none -, , ,none,none
"Glycosyl transferase, family 2",- none -, , ,none,none
Glycosyltransferase,- none -, , ,none,none
Nicotinamide mononucleotide adenylyltransferase,- none -, , ,none,none
Metal-dependent hydrolases of the beta-lactamase superfamily I; PhnP protein,Beta-lactamase, , ,Resistance to antibiotics and toxic compounds,"Virulence, Disease and Defense"
"Transketolase, C-terminal section (EC 2.2.1.1)",Pentose phosphate pathway, , ,Central carbohydrate metabolism,Carbohydrates
"Transketolase, N-terminal section (EC 2.2.1.1)",Pentose phosphate pathway, , ,Central carbohydrate metabolism,Carbohydrates
Inner membrane protein YqiK,- none -, , ,none,none
UPF0061 protein YdiU,- none -, , ,none,none
Queuine tRNA-ribosyltransferase (EC 2.4.2.29),- none -, , ,none,none
Lipopolysaccharide export system permease protein LptG,Lipoprotein sorting system, , ,Gram-Negative cell wall components,Cell Wall and Capsule
Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2),Fatty Acid Biosynthesis FASII; <br>Pterin synthesis related cluster, , ,Fatty acids; Folate and pterines,"Cofactors, Vitamins, Prosthetic Groups, Pigments; Fatty Acids, Lipids, and Isoprenoids"
Replicative DNA helicase (DnaB) (EC 3.6.4.12),DNA helicase, , ,DNA Metabolism - no subcategory,DNA Metabolism
LSU ribosomal protein L20p,Mycobacterium virulence operon involved in protein synthesis (LSU ribosomal proteins); <br>Ribosome LSU bacterial, , ,Invasion and intracellular resistance; Protein biosynthesis,"Protein Metabolism; Virulence, Disease and Defense"
LSU ribosomal protein L35p,Mycobacterium virulence operon involved in protein synthesis (LSU ribosomal proteins); <br>Ribosome LSU bacterial, , ,Invasion and intracellular resistance; Protein biosynthesis,"Protein Metabolism; Virulence, Disease and Defense"
Translation initiation factor 3,Mycobacterium virulence operon involved in protein synthesis (LSU ribosomal proteins); <br>Translation initiation factors bacterial, , ,Invasion and intracellular resistance; Protein biosynthesis,"Protein Metabolism; Virulence, Disease and Defense"
Threonyl-tRNA synthetase (EC 6.1.1.3),"tRNA aminoacylation, Thr", , ,Protein biosynthesis,Protein Metabolism
"Phytochrome, two-component sensor histidine kinase (EC 2.7.3.-)",Oxidative stress; Two-component regulatory system, , ,Oxidative stress; Regulation and Cell signaling - no subcategory,Regulation and Cell signaling; Stress Response
Pectate lyase (EC 4.2.2.2),- none -, , ,none,none
Outer membrane assembly protein,- none -, , ,none,none
TRNA (Ms[2]io[6]A) -hydroxylase (EC 1.-.-.-),- none -, , ,none,none
Heat shock protein 60 kDa family chaperone GroEL,none, , ,Heat shock,Stress Response
Heat shock protein 10 kDa family chaperone GroES,none, , ,Heat shock,Stress Response
Protein translocase membrane subunit SecG,Protein transport, , ,Protein transport,Membrane Transport
Transcriptional regulator,none, , ,RNA processing and modification,RNA Metabolism
tRNA-i(6)A37 methylthiotransferase (EC 2.8.4.3),tRNA methylthiolation, , ,RNA processing and modification,RNA Metabolism
DNA topoisomerase I (EC 5.99.1.2),"CBSS-272943.3.peg.1367; <br>DNA topoisomerases, Type I, ATP-independent", , ,DNA replication,DNA Metabolism
GldJ,- none -, , ,none,none
GldN,- none -, , ,none,none
FAD-dependent cmnm(5)s(2)U34 oxidoreductase,- none -, , ,none,none
Bis-ABC ATPase YheS,- none -, , ,none,none
Transcription regulator [contains diacylglycerol kinase catalytic domain],none, , ,RNA processing and modification,RNA Metabolism
N-Acyltransferase,- none -, , ,none,none
Pterin-4-alpha-carbinolamine dehydratase (EC 4.2.1.96),Pterin carbinolamine dehydratase, , ,Folate and pterines,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
D-mannonate oxidoreductase (EC 1.1.1.57),D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
Glucosamine-6-phosphate deaminase (EC 3.5.99.6) / domain similar to N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase,- none -, , ,none,none
Sodium/myo-inositol cotransporter,Inositol catabolism; none, , ,Membrane Transport - no subcategory; Sugar alcohols,Carbohydrates; Membrane Transport
Inositol oxygenase (EC 1.13.99.1),Inositol catabolism, , ,Sugar alcohols,Carbohydrates
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",- none -, , ,none,none
"Alpha-1,2-mannosidase",Mannose Metabolism, , ,Monosaccharides,Carbohydrates
"Glycosyl hydrolase, family 88",- none -, , ,none,none
"glycoside hydrolase, family 28",- none -, , ,none,none
"Alpha-1,2-mannosidase",Mannose Metabolism, , ,Monosaccharides,Carbohydrates
"Endo-1,4-beta-xylanase D",- none -, , ,none,none
Alpha-N-acetylglucosaminidase (EC 3.2.1.50),- none -, , ,none,none
"N-acetylglucosamine related transporter, NagX",none, , ,Membrane Transport - no subcategory,Membrane Transport
Periplasmic ligand-binding sensor domain COG3292 / BaeS-type histidine kinase / OmpR-type DNA-binding response regulator,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
Hexuronate transporter,none, , ,Membrane Transport - no subcategory; Monosaccharides,Carbohydrates; Membrane Transport
4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase (EC 5.3.1.17),D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (EC 1.1.1.127) @ 2-deoxy-D-gluconate 3-dehydrogenase (EC 1.1.1.125),D-Galacturonate and D-Glucuronate Utilization; <br>D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
Uronate isomerase (EC 5.3.1.12),D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
2-dehydro-3-deoxygluconokinase (EC 2.7.1.45),- none -, , ,none,none
4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) @ 2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14),D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
Altronate oxidoreductase (EC 1.1.1.58),D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
Altronate dehydratase (EC 4.2.1.7),- none -, , ,none,none
Hexuronate utilization operon transcriptional repressor ExuR,D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
Polygalacturonase (EC 3.2.1.15),D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
Rhamnogalacturonides degradation protein RhiN,D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
Rhamnogalacturonides degradation protein RhiN,D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
"Xylan 1,4-beta-xylosidase (EC 3.2.1.37)",- none -, , ,none,none
rhamnogalacturonan acetylesterase,- none -, , ,none,none
rhamnogalacturonan acetylesterase,- none -, , ,none,none
Polygalacturonase (EC 3.2.1.15),D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
RNA polymerase ECF-type sigma factor,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
Putative anti-sigma factor,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",- none -, , ,none,none
Pectinesterase (EC 3.1.1.11),D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
"acetyltransferase, GNAT family",- none -, , ,none,none
Uncharacterised protein family UPF0157 (COG2320),- none -, , ,none,none
Site-specific tyrosine recombinase,- none -, , ,none,none
beta-galactosidase (EC 3.2.1.23),- none -, , ,none,none
Putative ion-channel protein,- none -, , ,none,none
LacI family transcriptional regulator,none, , ,RNA processing and modification,RNA Metabolism
RNA polymerase ECF-type sigma factor,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
Putative anti-sigma factor,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",- none -, , ,none,none
Pectinesterase (EC 3.1.1.11),D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
Pectinesterase (EC 3.1.1.11),D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
Rhamnogalacturonides degradation protein RhiN,D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
rhamnogalacturonan acetylesterase,- none -, , ,none,none
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",- none -, , ,none,none
TonB-dependent receptor,Ton and Tol transopt system; Ton and Tol transport systems, , ,Membrane Transport - no subcategory,Membrane Transport
"Arsenate reductase (EC 1.20.4.4) thioredoxin-coupled, LMWP family",- none -, , ,none,none
"Transcriptional regulator, ArsR family",none, , ,RNA processing and modification,RNA Metabolism
5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14),Methionine Biosynthesis, , ,"Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
GTP-binding protein Era,CBSS-176299.4.peg.1292; <br>Glycyl-tRNA synthetase containing cluster, , ,none,none
GTP-binding protein EngA,- none -, , ,none,none
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",- none -, , ,none,none
MBL-fold metallo-hydrolase superfamily,- none -, , ,none,none
Phytoene dehydrogenase and related proteins,- none -, , ,none,none
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",- none -, , ,none,none
Arylsulfatase (EC 3.1.6.1),Galactosylceramide and Sulfatide metabolism; <br>Sulfatases and sulfatase modifying factor 1, , ,Sulfur Metabolism - no subcategory,Sulfur Metabolism
Fatty acid hydroxylase family (carotene hydroxylase/sterol desaturase),- none -, , ,none,none
Rhodanese homology domain / Thioredoxin,- none -, , ,none,none
"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family",Ton and Tol transopt system; none, , ,Membrane Transport - no subcategory,Membrane Transport
"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family",- none -, , ,none,none
Arylsulfatase (EC 3.1.6.1),Galactosylceramide and Sulfatide metabolism; <br>Sulfatases and sulfatase modifying factor 1, , ,Sulfur Metabolism - no subcategory,Sulfur Metabolism
Sulfatase modifying factor 1 precursor (C-alpha-formyglycine- generating enzyme 1),Sulfatases and sulfatase modifying factor 1, , ,none,none
Uncharacterized UPF0721 integral membrane protein,- none -, , ,none,none
Serine acetyltransferase (EC 2.3.1.30),Cysteine Biosynthesis; <br>Methionine Biosynthesis, , ,"Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
Cysteine synthase (EC 2.5.1.47),Cysteine Biosynthesis; <br>Methionine Biosynthesis, , ,"Lysine, threonine, methionine, and cysteine",Amino Acids and Derivatives
"Oxidoreductase, short-chain dehydrogenase/reductase family",- none -, , ,none,none
FIG003003: hypothetical protein,- none -, , ,none,none
Endonuclease,Nuclease, , ,DNA Metabolism - no subcategory; RNA processing and modification,DNA Metabolism; RNA Metabolism
cAMP-binding protein,- none -, , ,none,none
Cysteine desulfurase (EC 2.8.1.7),Alanine biosynthesis; <br>Iron-sulfur cluster assembly; <br>mnm5U34 biosynthesis bacteria, , ,"Alanine, serine, and glycine; Plant-Prokaryote DOE project; RNA processing and modification",Amino Acids and Derivatives; Miscellaneous; RNA Metabolism
Aldose 1-epimerase (EC 5.1.3.3),Lactose and Galactose Uptake and Utilization, , ,Di- and oligosaccharides,Carbohydrates
L-arabinose isomerase (EC 5.3.1.4),L-Arabinose utilization, , ,Monosaccharides,Carbohydrates
L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4),L-Arabinose utilization, , ,Monosaccharides,Carbohydrates
Ribulokinase (EC 2.7.1.16),L-Arabinose utilization, , ,Monosaccharides,Carbohydrates
alpha-L-arabinofuranosidase (EC 3.2.1.55),- none -, , ,none,none
"Arabinan endo-1,5-alpha-L-arabinosidase (EC 3.2.1.99)",L-Arabinose utilization, , ,Monosaccharides,Carbohydrates
"Hypothetical glycoside hydrolase, family 43, similar to arabinosidase",L-Arabinose utilization, , ,Monosaccharides,Carbohydrates
alpha-L-arabinofuranosidase (EC 3.2.1.55),- none -, , ,none,none
Hypothetical Nudix-like regulator,- none -, , ,none,none
"Glyceraldehyde-3-phosphate dehydrogenase, putative",- none -, , ,none,none
Protein containing rhodanese-like domain,- none -, , ,none,none
Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-),Terminal cytochrome d ubiquinol oxidases; <br>Terminal cytochrome oxidases, , ,Electron accepting reactions,Respiration
Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-),Terminal cytochrome d ubiquinol oxidases; <br>Terminal cytochrome oxidases, , ,Electron accepting reactions,Respiration
MBL-fold metallo-hydrolase superfamily,- none -, , ,none,none
cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases,- none -, , ,none,none
4-carboxymuconolactone decarboxylase domain/alkylhydroperoxidase AhpD family core domain protein,- none -, , ,none,none
Polygalacturonase (EC 3.2.1.15),D-Galacturonate and D-Glucuronate Utilization, , ,Monosaccharides,Carbohydrates
putative membrane protein,- none -, , ,none,none
Helix-turn-helix motif,- none -, , ,none,none
LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23),Pseudouridinylation, , ,RNA processing and modification,RNA Metabolism
D-alanine--D-alanine ligase (EC 6.3.2.4),- none -, , ,none,none
Putative inner membrane protein,- none -, , ,none,none
Phosphopantetheine adenylyltransferase (EC 2.7.7.3),CBSS-266117.6.peg.1260; <br>CBSS-269801.1.peg.1715; <br>Coenzyme A Biosynthesis, , ,Coenzyme A,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
Protein PhnA,- none -, , ,none,none
ATP-dependent RNA helicase BT1154,RNA helicase, , ,RNA Metabolism - no subcategory,RNA Metabolism
Superoxide dismutase [Cu-Zn] precursor (EC 1.15.1.1),Oxidative stress, , ,Oxidative stress,Stress Response
Na(+)-dependent bicarbonate transporter BicA,none, , ,Membrane Transport - no subcategory,Membrane Transport
Hydrogen peroxide-inducible genes activator => OxyR,- none -, , ,none,none
Uncharacterized protein Celly_2507,- none -, , ,none,none
Uncharacterized protein Celly_2507,- none -, , ,none,none
tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61),RNA methylation; <br>mnm5U34 biosynthesis bacteria, , ,RNA processing and modification,RNA Metabolism
Branched-chain amino acid aminotransferase (EC 2.6.1.42),Alanine biosynthesis; <br>Branched-Chain Amino Acid Biosynthesis; <br>Isoleucine degradation; <br>Leucine Biosynthesis; <br>Leucine Degradation and HMG-CoA Metabolism; <br>Pyruvate Alanine Serine Interconversions; <br>Valine degradation, , ,"Alanine, serine, and glycine; Branched-chain amino acids; Central carbohydrate metabolism",Amino Acids and Derivatives; Carbohydrates
putative secreted protein,- none -, , ,none,none
membrane protein,- none -, , ,none,none
Bll7169 protein,- none -, , ,none,none
RNA polymerase ECF-type sigma factor,"Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
no hits,- none -, , ,none,none
Kup system potassium uptake protein,Potassium homeostasis, , ,Potassium metabolism - no subcategory,Potassium metabolism
Acyl CoA thioester hydrolase family protein,- none -, , ,none,none
Domain of unknown function / Rubredoxin,Rubrerythrin, , ,Oxidative stress,Stress Response
Assimilatory nitrate reductase large subunit (EC 1.7.99.4),- none -, , ,none,none
tRNA-dihydrouridine synthase BT3326,- none -, , ,none,none
FIG111991: hypothetical protein,CBSS-313593.3.peg.2729, , ,none,none
RNA polymerase sigma-70 factor,"CBSS-313593.3.peg.2729; <br>Transcription initiation, bacterial sigma factors", , ,Transcription,RNA Metabolism
Glutathione peroxidase (EC 1.11.1.9) @ Thioredoxin peroxidase (EC 1.11.1.15),Glutathione: Redox cycle, , ,Oxidative stress,Stress Response
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9),Menaquinone and Phylloquinone Biosynthesis; <br>Menaquinone and Phylloquinone Biosynthesis -- gjo, , ,Quinone cofactors,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
Uncharacterized RNA-binding protein BT2505,- none -, , ,none,none
Naphthoate synthase (EC 4.1.3.36),Menaquinone and Phylloquinone Biosynthesis; <br>Menaquinone and Phylloquinone Biosynthesis -- gjo, , ,Quinone cofactors,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
"1,4-dihydroxy-2-naphthoate polyprenyltransferase (EC 2.5.1.74)",Menaquinone and Phylloquinone Biosynthesis; <br>Menaquinone and Phylloquinone Biosynthesis -- gjo, , ,Quinone cofactors,"Cofactors, Vitamins, Prosthetic Groups, Pigments"
Metal-dependent hydrolase,- none -, , ,none,none
O-succinylbenzoate synthase (EC 4.2.1.113),Menaquinone and Phylloquinone Biosynthesis; <br>Menaquinone and Phylloquinone Biosynthesis -- gjo; <br>Muconate lactonizing enzyme family, , ,Miscellaneous - no subcategory,"Cofactors, Vitamins, Prosthetic Groups, Pigments; Miscellaneous"
FIG024850: short form Mg-chelase associated protein with vWA domain,CBSS-336982.3.peg.1011, , ,none,none
"Magnesium chelatase, subunit ChlI (EC 6.6.1.1)",CBSS-336982.3.peg.1011, , ,none,none
Putative oxidoreductase,- none -, , ,none,none
L-fuconolactone hydrolase,- none -, , ,none,none
Sorbitol dehydrogenase (EC 1.1.1.14),- none -, , ,none,none
"Transcriptional regulator, LacI family",none, , ,RNA processing and modification,RNA Metabolism
"Transcriptional regulator, AraC family",none, , ,RNA processing and modification,RNA Metabolism
Uncharacterized sugar:proton symporter,none, , ,Uni- Sym- and Antiporters,Membrane Transport
"Uncharacterized protein YphG, TPR-domain containing",- none -, , ,none,none
beta-galactosidase (EC 3.2.1.23),- none -, , ,none,none
beta-galactosidase (EC 3.2.1.23),- none -, , ,none,none
beta-galactosidase (EC 3.2.1.23),- none -, , ,none,none
Two-component response regulator,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
histidine kinase sensor protein,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
UPF0225 protein YchJ,Broadly distributed proteins not in subsystems, , ,Miscellaneous - no subcategory,Miscellaneous
Two-component system sensor histidine kinase,Two-component regulatory system, , ,Regulation and Cell signaling - no subcategory,Regulation and Cell signaling
"Two-component transcriptional response regulator, LuxR family",Two-component regulatory system, , ,RNA processing and modification; Regulation and Cell signaling - no subcategory,RNA Metabolism; Regulation and Cell signaling
